date,product,quantity,revenue,cost,stock
2026-04-01,Tea Pack,15,3000,1800,40
2026-04-01,Cookies,8,1600,700,25
2026-04-02,Tea Pack,10,2000,1200,30
2026-04-02,Cold Coffee,6,1500,900,18
2026-04-03,Cookies,12,2400,1050,20
2026-04-04,Cold Coffee,10,2500,1500,15
2026-04-05,Tea Pack,7,1400,840,24
2026-04-06,Cookies,9,1800,790,16
2026-04-07,Tea Pack,5,1000,600,19
2026-04-08,Cookies,18,3600,1575,9
2026-04-09,Cold Coffee,20,5000,3000,11
2026-04-10,Tea Pack,11,2200,1320,14
2026-04-11,Cookies,7,1400,610,8
2026-04-12,Cold Coffee,13,3250,1950,6
